Suomen Valkoisen Ruusun suurristi / Storkorset av Finlands Vita Ros orden 
Sipilä, Eero Olavi, Senior Advisor, Uusikaupunki
Stenbäck, Aulikki Eeva-Liisa, käräjätuomari, Tampere
Suutarla, Timo, General Manager, Kuusankoski
Tamminen, Timo Pentti, tutkimusprofessori, Espoo
Tomi, Eero Ensio, toimitusjohtaja, Sastamala
Tuominen, Ismo Tapio, hallitusneuvos, Helsinki
Tuovila, Timo Lauri, tekninen johtaja, Tuusula
Turunen, Merja Maritta, ympäristöneuvos, Helsinki
Turunen, Teemu Tahvana, lähetystöneuvos, Helsinki
Törmä, Taina Hannele, johtava rehtori, Helsinki
Törmänen, Pentti Antero, taloushallintopäällikkö, Reisjärvi
Usoskin, Ilya Germanovitch, ts professori, Oulu
Uusitalo, Jori Juhani, aluejohtaja, Tampere
Valjakka, Jouni Aaro Mikael, henkilöstöjohtaja, Jyväskylä
Vanamo, Sannamaaria, lähetystöneuvos, Helsinki Washington
Vauraste, Tero Henrik Johannes, toimitusjohtaja, Espoo
Veijalainen, Seppo Juhani, Support Centerin päällikkö, Espoo
Verkkoranta, Rae Anna-Helena, lähetystöneuvos, Helsinki Bryssel
Vesanen-Nikitin, Irja Vappu Helena, hallitusneuvos, Helsinki
Wickström, Anita, ylijohtaja, Hämeenlinna
Vihma, Timo Pekka, tutkimusprofessori, Helsinki
Viitanen, Marko Heikki Juhani, lainsäädäntöjohtaja, Rajamäki
Viitanen, Päivi Sinikka, ylilääkäri, Hattula
Vinkvist, Jarmo, toimitusjohtaja, Espoo
Voipio-Pulkki, Liisa-Maria, johtaja, Helsinki
Vuopio, Jaana Kaisa, tutkimusprofessori, Espoo
Vuorinen, Ilppo Olli Ilmari, tutkimusjohtaja, Parainen
Suomen Valkoisen Ruusun ritarimerkki / Riddartecknet av Finlands Vita Ros orden
Aho, Jari Kaarle, hallinto- ja talousjohtaja, Joensuu
Ahola, Arja Hannele, henkilöstöpäällikkö, Joensuu
Ala-Houhala, Ilpo Olavi, apulaisylilääkäri, Tampere
